milestone_id,type,scope,title,status,depends_on,priority,workflow_name,evidence_ref,owner,notes
M00,setup,lane,Worktree created and lane preflight complete,todo,AGENT-0-INFRA,P0,,,,
M01,batch,lane,P1 workflow fixes implemented and validated,todo,M00,P1,,,,"Batch contains: Initiative Framework, Competitor Analysis Workflow, Lead Generation Workflow, Product Launch Workflow, Social Media Campaign Workflow, A/B Testing Workflow, Content Creation Workflow (Extended), Email Sequence Workflow"
WF-INITIATIVE_FRAMEWORK,workflow,workflow,Initiative Framework strict E2E pass/gate verified,todo,M00,P1,Initiative Framework,,,Re-run in strict E2E env and verify status path `pending/running -> waiting_approval -> running/completed` with SSE + approval endpoint + UI path.
WF-COMPETITOR_ANALYSIS_WORK,workflow,workflow,Competitor Analysis Workflow strict E2E pass/gate verified,todo,M00,P1,Competitor Analysis Workflow,,,Re-run in strict E2E env and verify status path `pending/running -> waiting_approval -> running/completed` with SSE + approval endpoint + UI path.
WF-LEAD_GENERATION_WORKFLOW,workflow,workflow,Lead Generation Workflow strict E2E pass/gate verified,todo,M00,P1,Lead Generation Workflow,,,Re-run in strict E2E env and verify status path `pending/running -> waiting_approval -> running/completed` with SSE + approval endpoint + UI path.
WF-PRODUCT_LAUNCH_WORKFLOW,workflow,workflow,Product Launch Workflow strict E2E pass/gate verified,todo,M00,P1,Product Launch Workflow,,,Re-run in strict E2E env and verify status path `pending/running -> waiting_approval -> running/completed` with SSE + approval endpoint + UI path.
WF-SOCIAL_MEDIA_CAMPAIGN_WO,workflow,workflow,Social Media Campaign Workflow strict E2E pass/gate verified,todo,M00,P1,Social Media Campaign Workflow,,,Re-run in strict E2E env and verify status path `pending/running -> waiting_approval -> running/completed` with SSE + approval endpoint + UI path.
WF-A_B_TESTING_WORKFLOW,workflow,workflow,A/B Testing Workflow strict E2E pass/gate verified,todo,M00,P1,A/B Testing Workflow,,,Re-run in strict E2E env and verify status path `pending/running -> waiting_approval -> running/completed` with SSE + approval endpoint + UI path.
WF-CONTENT_CREATION_WORKFLO,workflow,workflow,Content Creation Workflow (Extended) strict E2E pass/gate verified,todo,M00,P1,Content Creation Workflow (Extended),,,Re-run in strict E2E env and verify status path `pending/running -> waiting_approval -> running/completed` with SSE + approval endpoint + UI path.
WF-EMAIL_SEQUENCE_WORKFLOW,workflow,workflow,Email Sequence Workflow strict E2E pass/gate verified,todo,M00,P1,Email Sequence Workflow,,,Re-run in strict E2E env and verify status path `pending/running -> waiting_approval -> running/completed` with SSE + approval endpoint + UI path.
M90,qa,lane,Lane regression tests and documentation complete,todo,M00,P1,,,,Targeted tests + changelog + evidence package assembled.
M99,handoff,lane,Lane ready for merge,todo,M90,P1,,,,"Checklist complete, risks recorded, merge order prerequisites satisfied."
